Ticker,Date,Headline,Article,Type
GOOGL,11072018,Trump would consider regulating social media but urges caution ,WASHINGTON U.S. President Donald Trump said he would consider working with Democrats to regulate social media companies  after he and other conservatives accused companies such as Twitter Inc  Facebook Inc and Alphabet Inc's Google of allegedly stifling right wing views.,topStory
GOOGL,11072018,UPDATE 1-Trump would consider regulating social media but urges caution ,WASHINGTON  Nov 7 U.S. President Donald Trump said he would consider working with Democrats to regulate social media companies  after he and other conservatives accused companies such as Twitter Inc  Facebook Inc and Alphabet Inc's Google of allegedly stifling right wing views.,normal
GOOGL,11072018,EU's Vestager says probe into Google AdSense case nearing end ,LISBON EU regulators are close to wrapping up their third case against Alphabet  unit Google involving its AdSense advertising service  Europe's antitrust chief said on Wednesday  suggesting the company may soon be hit with another hefty fine.,normal
GOOGL,11072018,Intel-drafted U.S. data privacy bill would protect firms from fines ,Chipmaker Intel Corp  said it is seeking a sponsor in Congress for a U.S. data privacy bill it drafted that would shield companies from fines if they attest to the U.S. Federal Trade Commission annually that they take strong measures to protect consumer data.,normal
GOOGL,11062018,UPDATE 1-Judges named to hear government's appeal of AT&T Time Warner deal approval ,WASHINGTON  Nov 6 A panel of three federal appeals court judges named by former Presidents Ronald Reagan  Bill Clinton and Barack Obama will hear the Justice Department's appeal of a ruling allowing AT&T Inc to acquire Time Warner  court records show.,normal
GOOGL,11052018,RPT-FOCUS-Vying for Vuitton: China's e-commerce rivals seek luxury stranglehold ,PARIS  Nov 5 China's online giants Alibaba and JD.com are taking their battle for relevance in the lucrative luxury goods market to a new level  as they aim to crack e-commerce tie-ups with top brands that usually shun selling through third parties.,normal
GOOGL,11022018,Google's top U.S. public policy official leaving post ,WASHINGTON  Nov 2 Alphabet Inc's Google unit said on Friday that its Washington office chief  who also heads Americas policy  is stepping down as the company faces criticism on issues including how it protects users' privacy and its investment plans in China.,topStory
GOOGL,11022018,Apple loses $1 trillion status after soft holiday forecast ,Nov 2 Shares in Apple Inc fell 6 percent on Friday  cutting its market value back to less than $1 trillion after it forecast softer-than-expected sales for the holiday quarter and fueled nerves over iPhone sales by saying it would no longer release the figures.,normal
GOOGL,10302018,Waymo gets California OK to test driverless vehicles without backup driver ,WASHINGTON  Oct 30 Alphabet Inc's Waymo unit on Tuesday became the first company to receive a permit from the state of California to test driverless vehicles without a backup driver in the front seat  the state's Department of Motor Vehicles said.,topStory
GOOGL,10262018,Weak Amazon  Alphabet results ignite growth worries ,Shares of Amazon.com Inc  dropped by the most in four years on Friday after its outlook for holiday season sales missed targets  fanning concerns that Wall Street's tech darlings are finally starting to face stronger competition. | Video ,topStory
