Ticker,Date,Headline,Article,Type
TSLA,11302018,Nio  China rival to Tesla  says U.S. head to step down ,SHANGHAI  Nov 30 The U.S. head of Nio Inc   an electric carmaker seen as one of the main Chinese rivals to Tesla Inc  will leave the company  the firm said in a filing on Friday  the first major management departure since its September IPO.,normal
TSLA,11292018,Volkswagen planning new North America factory for electric vehicles ,LOS ANGELES  Nov 28 Volkswagen is deciding where to locate a new factory in North America to build electric vehicles for the U.S. market  the German automaker's new head for the Americas said on Wednesday.,normal
TSLA,11282018,Factbox: Tesla executive departures since 2016 ,Electric carmaker Tesla Inc has seen a flurry of senior executives leave the company in recent months.,topStory
TSLA,11282018,Trump threatens to cut GM subsidies in retaliation for U.S. job cuts ,WASHINGTON U.S. President Donald Trump threatened on Tuesday to eliminate subsidies for General Motors Co in retaliation for the automaker cutting U.S. jobs and plants  and the automaker also took fire from Canadian political and labor leaders for cutbacks there. | Video ,normal
TSLA,11282018,UPDATE 5-Trump threatens to cut GM subsidies in retaliation for U.S. job cuts ,WASHINGTON  Nov 27 U.S. President Donald Trump threatened on Tuesday to eliminate subsidies for General Motors Co in retaliation for the automaker cutting U.S. jobs and plants  and the automaker also took fire from Canadian political and labor leaders for cutbacks there.,normal
TSLA,11272018,Auto group says Tesla's China sales plunge; company's shares slide ,BEIJING/SHANGHAI Tesla Inc's  vehicle sales in China sank 70 percent last month from a year ago  the country's passenger car association told Reuters on Tuesday  underscoring how the Sino-U.S. trade war is hurting the U.S. electric carmaker.,topStory
TSLA,11272018,UPDATE 2-Auto group says Tesla's China sales plunge; company's shares slide ,* Steep tariffs on U.S. auto imports hurt Tesla China sales (New throughout  to add Tesla California spokesman comment),normal
TSLA,11272018,U.S. SEC chairman says Tesla case is 'settled' despite CEO's tweet , (The Nov. 26 story corrects paragraphs 4 and 5 to show the SEC filed charges against Musk and Tesla  and that Musk and Tesla settled those charges without admitting or denying the SEC's allegations),normal
TSLA,11272018,CORRECTED-U.S. SEC chairman says Tesla case is 'settled' despite CEO's tweet ,WASHINGTON  Nov 26 The U.S. Securities and Exchange Commission chairman said on Monday that the agency would not revisit its securities fraud settlement with Tesla Inc despite Chief Executive Elon Musk's tweet mocking the regulator.,normal
TSLA,11272018,REFILE-Tesla China sales drop sharply in October - auto industry body ,BEIJING/SHANGHAI  Nov 27 Tesla Inc sold just 211 cars in China last month  a sharp drop versus a year ago  the country's passenger car association told Reuters on Tuesday  underscoring how the Sino-U.S. trade war is hurting the electric carmaker.,normal
