Ticker,Date,Headline,Article,Type
AAPL,11262018,U.S. top court leans toward allowing Apple App Store antitrust suit ,WASHINGTON U.S. Supreme Court justices on Monday appeared open to letting a lawsuit proceed against Apple Inc that accused it of breaking federal antitrust laws by monopolizing the market for iPhone software applications and causing consumers to overpay.,normal
AAPL,11262018,U.S. Supreme Court weighs antitrust dispute over Apple App Store ,WASHINGTON  Nov 26 U.S. Supreme Court justices on Monday will take up Apple Inc's effort to bury a lawsuit seeking damages from the company for allegedly monopolizing the market for iPhone software applications and forcing consumers to overpay.,normal
AAPL,11262018,Luxury goods group Kering steps up digital strategy with new Apple deals ,PARIS  Nov 26 French luxury goods group Kering announced new measures to step up its digital and e-commerce presence  which is among its fastest growing areas  including new partnerships with Apple Inc..,normal
AAPL,11252018,How much for that app? U.S. top court hears Apple antitrust dispute ,WASHINGTON When iPhone users want to edit blemishes out of their selfies  identify stars and constellations or simply join the latest video game craze  they turn to Apple Inc's App Store  where any software application they buy also includes a 30 percent cut for Apple.,topStory
AAPL,11222018,Top Japanese wireless carriers plan to cut iPhone XR price: WSJ ,Major Japanese wireless carriers are planning to cut the price of Apple Inc's iPhone XR as early as next week  the Wall Street Journal reported on Thursday  citing people familiar with the matter.,topStory
AAPL,11222018,Top Japanese wireless carriers plan to cut iPhone XR price - WSJ ,Nov 22 Major Japanese wireless carriers are planning to cut the price of Apple Inc's iPhone XR as early as next week  the Wall Street Journal reported https://on.wsj.com/2BqEtKU on Thursday  citing people familiar with the matter.,normal
AAPL,11212018,Apple supplier Foxconn seeks to cut costs in 2019: Bloomberg ,Apple Inc's biggest iPhone assembler Foxconn aims to cut 20 billion yuan ($2.88 billion) from expenses in 2019 as the company faces "a very difficult and competitive year"  Bloomberg reported on Wednesday  citing an internal memo.,topStory
AAPL,11212018,US STOCKS SNAPSHOT-Wall Street opens higher as oil prices  tech stocks recover ,Nov 21 U.S. stocks opened higher on Wednesday after two days of heavy selling as Apple Inc and other major technology stocks bounced back and oil prices steadied.,normal
AAPL,11212018,US STOCKS-Wall Street set to open higher as tech shares recover ,* Futures gain: Dow 0.58 pct  S&P 0.73 pct  Nasdaq 1.08 pct (Adds comment  details; updates prices),normal
AAPL,11212018,UPDATE 2-Apple supplier Foxconn seeks to cut costs in 2019 - Bloomberg ,Nov 21 Apple Inc's biggest iPhone assembler Foxconn aims to cut 20 billion yuan ($2.88 billion) from expenses in 2019 as the company faces "a very difficult and competitive year"  Bloomberg reported on Wednesday  citing an internal memo.,normal
AAPL,11212018,US STOCKS-Futures bounce after two-day selloff ,Nov 21 U.S. stock futures rose on Wednesday  after a brutal two-day selloff pushed the S&P 500 and the Dow Jones Industrial Average in the red for the year.,normal
AAPL,11212018,EMERGING MARKETS-Emerging currencies  stocks stabilise after dive ,Nov 21 Emerging markets steadied on Wednesday  with shares flat after their worst day in more than a week  while Russia's rouble and South Africa's rand led a rebound in currencies.,normal
AAPL,11202018,Best Buy boosts profit forecast  cautious on holiday earnings ,Best Buy Co Inc  raised its full-year earnings forecast on Tuesday  as the largest U.S. consumer tech retailer sold more mobile phones and home theater systems  but stayed cautious on its outlook for the holiday shopping season.,topStory
AAPL,11202018,US STOCKS-Retail disappointments  energy decline hit Wall Street ,* Indexes drop: Dow 2.1 pct  S&P 1.7 pct  Nasdaq 1.7 pct (Updates to late afternoon),normal
AAPL,11202018,US STOCKS-Retail warnings  tech tumble hit Wall Street ,* Indexes drop: Dow 1.82 pct  S&P 1.49 pct  Nasdaq 1.31 pct (Updates to early afternoon),normal
AAPL,11202018,UPDATE 3-Best Buy boosts profit forecast  cautious on holiday earnings ,Nov 20 Best Buy Co Inc raised its full-year earnings forecast on Tuesday  as the largest U.S. consumer tech retailer sold more mobile phones and home theater systems  but stayed cautious on its outlook for the holiday shopping season.,normal
AAPL,11202018,US STOCKS-Retail  tech stocks lead slide on Wall Street ,* Indexes drop: Dow 1.99 pct  S&P 1.56 pct  Nasdaq 1.37 pct (Changes comment  adds details  updates prices),normal
AAPL,11202018,Investors take longest positions in U.S. bonds in two years: survey ,NEW YORK Bond investors are the most bullish on longer-dated Treasuries in two years as worries about slowing global growth and losses on Wall Street have spurred safe-haven demand for U.S. government debt  a J.P. Morgan survey showed on Tuesday.,normal
AAPL,11202018,Investors take longest positions in U.S. bonds in two years -survey ,NEW YORK  Nov 20 Bond investors are the most bullish on longer-dated Treasuries in two years as worries about slowing global growth and losses on Wall Street have spurred safe-haven demand for U.S. government debt  a J.P. Morgan survey showed on Tuesday.,normal
AAPL,11202018,US STOCKS-Retail gloom  tech weakness pin down Wall Street ,* Indexes drop: Dow 1.92 pct  S&P 1.69 pct  Nasdaq 2.05 pct (Updates to open),normal
AAPL,11202018,US STOCKS-Retail gloom  tech weakness pin down Wall Street ,* Weak results from Target  Kohl's  pressure retail stocks Tech  internet stocks continue slide,normal
AAPL,11192018,Apple  trade woes sink stocks; growth worries drag on dollar ,NEW YORK World stock markets fell on Monday as worries about softening demand for the iPhone dragged down shares of Apple Inc and persistent trade tensions between China and the United States sapped investor sentiment. | Video ,topStory
AAPL,11192018,US STOCKS-Wall St tumbles as Apple  internet stocks swoon ,* Indexes down: Dow 1.6 pct  S&P 1.7 pct  Nasdaq 3 pct (Updates to close),normal
AAPL,11192018,GLOBAL MARKETS-Apple  trade woes sink stocks; growth worries drag on dollar ,* 10-year Treasury yield hits lowest level since early October,normal
AAPL,11192018,US STOCKS SNAPSHOT-Wall St tumbles  as Apple  internet stocks swoon ,NEW YORK  Nov 19 U.S. stocks dropped on Monday as investors dumped Apple  internet and other technology shares  further shaking confidence in a group of stocks that has propelled the long bull market.,normal
AAPL,11192018,Apple cuts production orders for all three new iPhone models: WSJ ,Apple Inc  has cut production orders in recent weeks for all three iPhone models launched in September  the Wall Street Journal reported on Monday  citing sources. | Video ,normal
AAPL,11192018,US STOCKS-Wall St hit by Apple and Internet shares  trade worries ,* Indexes sink: Dow 1.5 pct  S&P 1.5 pct  Nasdaq 2.7 pct (Updates to late afternoon),normal
AAPL,11192018,GLOBAL MARKETS-Stocks weighed by Apple demand woes  trade tensions ,* Wall Street hit by Apple slide  trade woes (Updates to mid-afternoon in U.S. markets  changes comment),normal
AAPL,11192018,US STOCKS-Wall St hammered by Apple  trade concerns ,* Indexes sink: Dow 1.55 pct  S&P 1.49 pct  Nasdaq 2.57 pct (Changes comment  updates to early afternoon),normal
AAPL,11192018,European stocks resume their slide a tech tumbles  Renault slumps ,LONDON/MILAN European shares resumed their slide on Monday to end at a three-week low as tech stocks came under fresh selling pressure on worries over Apple's iPhone demand and as carmaker Renault sank after the arrest of its CEO for alleged financial misconduct.,normal
AAPL,11162018,European chipmakers see new growth drivers to weather volatile demand ,BARCELONA  Nov 16 European chipmakers tried to play down market concerns about a potential slowdown in global demand at an investor conference in Barcelona this week  striking an upbeat tone on orders from car and smartphone makers.,normal
AAPL,11162018,Nikkei falls as Nvidia's poor results dent chip sector; Nintendo dives ,* Advantest  Tokyo Electron  SoftBank fall after Nvidia's poor earnings,normal
AAPL,11162018,Nikkei falls as Nvidia's poor results dent chip sector ,* Advantest  Tokyo Electron  SoftBank fall after Nvidia's poor earnings,normal
