date,change,changeOverTime,changePercent,close,high,low,open,unadjustedVolume,volume,vwap,change1D,change2D,change3D,change7D,future1D,future2D,future3D,future7D,NASDAQclose,NASDAQchange1D,compToNASDAQ
12/31/13,0.168572,0.035146694,0.322,52.5957,52.7357,51.9471,52.2142,1503886,10527202,52.3752,0.321589407,0.182476538,-2.323987736,-2.274623327,-1.45316062,-1.377108775,-2.335932405,-9.786351356,36.6225,-0.075306752,TRUE
1/2/14,-0.764285,0.02010435,-1.453,51.8314,52.5114,51.5428,52.4014,1761997,12333979,51.6328,-1.45316062,-1.136244423,-1.273335759,-3.420531387,0.077173296,-0.895789039,-6.427377999,-7.168820445,36.0704,-1.507543177,FALSE
1/3/14,0.04,0.020891598,0.077,51.8714,52.4956,51.8428,51.9999,1545555,10818885,52.2091,0.077173296,-1.377108775,-1.059948004,-4.592916854,-0.972212047,-6.499535389,-6.089290052,-6.923661208,36.6041,1.479606547,TRUE
1/6/14,-0.504286,0.010966367,-0.972,51.3671,52.0442,50.4757,51.8899,2214845,15503915,51.1819,-0.972212047,-0.895789039,-2.335932405,-4.973758549,-5.581588215,-5.167315266,-6.262958197,-8.118036642,36.6961,0.251337965,FALSE
1/7/14,-2.8671,-0.045461613,-5.582,48.5,49.6985,48.1528,49.6842,5172879,36210153,48.8433,-5.581588215,-6.499535389,-6.427377999,-9.930154084,0.438762887,-0.721649485,-2.168041237,-2.303505155,36.8709,0.476344898,FALSE
1/8/14,0.212856,-0.041273453,0.439,48.7128,49.4257,48.0742,48.1042,2859855,20018985,49.2085,0.438762887,-5.167315266,-6.089290052,-7.21353755,-1.155343154,-2.5954164,-1.225755859,-3.21127096,36.9721,0.274471195,TRUE
1/9/14,-0.562856,-0.052350034,-1.155,48.15,49.14,47.8571,48.8242,2431043,17017301,48.2607,-1.155343154,-0.721649485,-6.262958197,-8.158185366,-1.456905504,-0.071235722,0.269989616,-2.474558671,37.0273,0.149301771,FALSE
1/10/14,-0.701428,-0.066156399,-1.457,47.4485,48.3767,47.2185,48.2957,2321394,16249758,47.5985,-1.456905504,-2.5954164,-2.168041237,-9.786351356,1.406156148,1.752426315,-0.529837613,0.478834947,36.7329,-0.795089029,FALSE
1/13/14,0.667142,-0.053025099,1.406,48.1157,49.81,47.3042,47.3042,3892551,27247857,48.3075,1.406156148,-0.071235722,-1.225755859,-7.168820445,0.341468585,-1.909148157,-1.523203445,15.41222512,36.0244,-1.928788634,TRUE
1/14/14,0.164286,-0.049791478,0.341,48.28,48.8,47.51,48.7771,2824328,19770296,48.209,0.341468585,1.752426315,0.269989616,-6.923661208,-2.242957746,-1.858326429,-2.343620547,14.23819387,36.5673,1.507034121,TRUE
1/15/14,-1.0829,-0.071104253,-2.243,47.1971,48.3671,45.5814,47.8571,5782772,40479404,46.6734,-2.242957746,-1.909148157,-0.529837613,-8.118036642,0.393456378,-0.102972428,-0.505539535,15.39141176,36.3648,-0.553773453,FALSE
1/16/14,0.185714,-0.067449454,0.393,47.3828,47.6957,46.0028,46.9157,3019971,21139797,47.1734,0.393456378,-1.858326429,-1.523203445,-2.303505155,-0.49448323,-0.895472619,0.6181568,22.63922774,36.7881,1.164037751,TRUE
1/17/14,-0.234286,-0.07206076,-0.494,47.1485,47.8314,46.8914,47.4385,2347778,16434446,47.2308,-0.49448323,-0.102972428,-2.343620547,-3.21127096,-0.402982067,1.118169189,17.77978091,21.32475052,36.5488,-0.650482085,FALSE
