date,change,changeOverTime,changePercent,close,high,low,open,unadjustedVolume,volume,vwap,change1D,change2D,change3D,change7D,future1D,future2D,future3D,future7D,NASDAQclose,NASDAQchange1D,compToNASDAQ
12/27/13,-2.29,0.135135135,-3.967,55.44,57.68,55.25,57.48,60465751,60465751,56.4765,-3.966741729,-4.347826087,-4.033235243,1.057236602,-3.12049062,-1.426767677,-1.316738817,5.032467532,36.7329,-0.150048521,FALSE
12/30/13,-1.73,0.09971335,-3.12,53.71,55.18,53.43,54.93,68307317,68307317,54.2,-3.12049062,-6.963450546,-7.332643202,-3.347129746,1.748277788,1.86185068,1.576987526,6.535095885,36.6501,-0.225411008,FALSE
12/31/13,0.939,0.118939394,1.748,54.649,54.86,53.91,54.12,43152127,43152127,54.4671,1.748277788,-1.426767677,-5.336913217,-0.728428701,0.111621439,-0.168347088,4.667971967,6.022068107,36.6225,-0.075306752,TRUE
1/2/14,0.061,0.12018837,0.112,54.71,55.22,54.19,54.83,43257622,43257622,54.5792,0.111621439,1.86185068,-1.316738817,-0.74383164,-0.27965637,4.551270334,5.867300311,2.193383294,36.0704,-1.507543177,TRUE
1/3/14,-0.153,0.117055692,-0.28,54.557,55.65,54.53,55.02,38287706,38287706,54.9585,-0.27965637,-0.168347088,1.576987526,-5.56171023,4.844474586,6.164195245,6.732408307,5.834265081,36.6041,1.479606547,FALSE
1/6/14,2.643,0.171171171,4.844,57.2,57.26,54.05,54.42,68974359,68974359,55.8267,4.844474586,4.551270334,4.667971967,-1.311249137,1.258741259,1.800699301,0.034965035,0.699300699,36.6961,0.251337965,TRUE
1/7/14,0.72,0.185913186,1.259,57.92,58.55,57.22,57.7,77329009,77329009,57.8566,1.258741259,6.164195245,5.867300311,0.329118309,0.535220994,-1.208563536,0.034530387,-1.260359116,36.8709,0.476344898,TRUE
1/8/14,0.31,0.192260442,0.535,58.23,58.41,57.23,57.6,56800776,56800776,57.9836,0.535220994,1.800699301,6.732408307,5.032467532,-1.734501116,-0.498025073,-3.984200584,-3.314442727,36.9721,0.274471195,TRUE
1/9/14,-1.01,0.171580672,-1.735,57.22,58.96,56.65,58.65,92349222,92349222,57.6531,-1.734501116,-1.208563536,0.034965035,6.535095885,1.258301293,-2.289409297,0.908773156,2.254456484,37.0273,0.149301771,FALSE
1/10/14,0.72,0.186322686,1.258,57.94,58.3,57.06,57.13,42529258,42529258,57.8202,1.258301293,-0.498025073,0.034530387,6.022068107,-3.503624439,-0.345184674,-0.586813945,-0.742147049,36.7329,-0.795089029,TRUE
1/13/14,-2.03,0.144758395,-3.504,55.91,58.25,55.38,57.91,63106519,63106519,56.7808,-3.503624439,-2.289409297,-3.984200584,2.193383294,3.27311751,3.022715078,2.289393668,1.287783938,36.0244,-1.928788634,FALSE
1/14/14,1.83,0.182227682,3.273,57.74,57.78,56.1,56.46,37590987,37590987,57.0986,3.27311751,-0.345184674,0.908773156,5.834265081,-0.242466228,-0.952545895,-2.493938344,-5.697956356,36.5673,1.507034121,TRUE
1/15/14,-0.14,0.179361179,-0.242,57.6,58.57,57.27,57.98,33730619,33730619,57.7562,-0.242466228,3.022715078,-0.586813945,0.699300699,-0.711805556,-2.256944444,1.579861111,-7.03125,36.3648,-0.553773453,FALSE
1/16/14,-0.41,0.170966421,-0.712,57.19,58.02,56.83,57.26,34599775,34599775,57.4783,-0.711805556,-0.952545895,2.289393668,-1.260359116,-1.556216122,2.308095821,0.559538381,-3.584542752,36.7881,1.164037751,FALSE
1/17/14,-0.89,0.152743653,-1.556,56.3,57.82,56.07,57.3,40883205,40883205,56.9422,-1.556216122,-2.256944444,-2.493938344,-3.314442727,3.925399645,2.14920071,0.586145648,-4.920071048,36.5488,-0.650482085,FALSE
1/21/14,2.21,0.197993448,3.925,58.51,58.58,56.5,56.6,48734147,48734147,57.6991,3.925399645,2.308095821,1.579861111,2.254456484,-1.709109554,-3.213125961,-6.938984789,4.392411554,36.2544,-0.805498402,TRUE
1/22/14,-1,0.177518428,-1.709,57.51,59.31,57.1,58.85,61495880,61495880,57.9149,-1.709109554,2.14920071,0.559538381,-0.742147049,-1.530168666,-5.320813772,-6.885758998,8.798469831,36.3464,0.253762302,FALSE
1/23/14,-0.88,0.15950041,-1.53,56.63,56.68,55.6855,56.37,47996403,47996403,56.2415,-1.530168666,-3.213125961,0.586145648,1.287783938,-3.849549709,-5.43881335,-2.63111425,8.564365177,35.6103,-2.025234961,FALSE
1/24/14,-2.18,0.114864865,-3.85,54.45,56.42,54.4,56.15,55545338,55545338,55.1707,-3.849549709,-5.320813772,-6.938984789,-5.697956356,-1.652892562,1.267217631,-1.689623508,15.24334252,34.5981,-2.842436037,FALSE
1/27/14,-0.9,0.096437346,-1.653,53.55,54.9401,51.85,54.73,74142331,74142331,53.1282,-1.652892562,-5.43881335,-6.885758998,-7.03125,2.969187675,-0.037348273,14.06162465,16.13445378,34.3405,-0.744549556,FALSE
1/28/14,1.59,0.128992629,2.969,55.14,55.28,54,54.02,48364998,48364998,54.7572,2.969187675,1.267217631,-2.63111425,-3.584542752,-2.919840406,10.77257889,13.47479144,12.7312296,34.6441,0.884087302,TRUE
1/29/14,-1.61,0.096027846,-2.92,53.53,54.95,53.19,54.61,98089932,98089932,55.2758,-2.919840406,-0.037348273,-1.689623508,-4.920071048,14.10424061,16.88772651,14.85148515,20.15692135,34.23,-1.195297323,FALSE
1/30/14,7.55,0.250614251,14.104,61.08,62.5,60.46,62.12,150438699,150438699,61.6766,14.10424061,10.77257889,14.06162465,4.392411554,2.439423707,0.654878847,2.734119188,4.040602489,35.3434,3.252702308,TRUE
1/31/14,1.49,0.281122031,2.439,62.57,63.37,60.17,60.47,87930298,87930298,62.0016,2.439423707,16.88772651,13.47479144,8.798469831,-1.742048905,0.287677801,-0.607319802,3.645517021,35.1042,-0.676788311,TRUE
2/3/14,-1.09,0.258804259,-1.742,61.48,63.77,60.7,63.03,75105994,75105994,62.356,-1.742048905,0.654878847,14.85148515,8.564365177,2.065712427,1.154847105,1.106050748,4.830839297,34.1656,-2.673754138,FALSE
