date,change,changeOverTime,changePercent,close,high,low,open,unadjustedVolume,volume,vwap
2013-12-04,2.4625,0.0,0.467,529.6191,532.522,525.525,526.2107,1192139,2381896,529.2341
2013-12-05,-0.42042,-0.0007937780189570001,-0.079,529.1987,530.3598,526.0705,529.1286,1134919,2267570,528.5405
2013-12-06,6.2713,0.011047184665356001,1.185,535.4699,535.535,530.57,535.4299,1431235,2859610,533.8361
2013-12-09,4.1391,0.018862612772084,0.773,539.6091,541.6962,534.544,536.0305,1484103,2965241,539.4871
2013-12-10,3.2633,0.025024021981080002,0.605,542.8723,546.7012,538.3628,538.6131,1856112,3708515,542.8615
2013-12-11,-3.6887,0.018059205191051,-0.679,539.1836,546.2057,538.1226,544.2437,1711835,3420250,542.4584
2013-12-12,-3.6687000000000003,0.011132340204497,-0.68,535.515,542.0115,535.0345,540.3248,1596498,3189806,537.5372
2013-12-13,-4.5896,0.0024664895960130003,-0.857,530.9254,538.6831,529.4714,538.2377,2164759,4325193,533.8719
2013-12-16,6.1011,0.013986278062856001,1.149,537.0265,537.8823,531.536,532.532,1606175,3209141,535.9034
2013-12-17,-1.5615999999999999,0.011037743918223,-0.291,535.4649,540.9204,534.7242,536.9464,1539917,3076757,555.5564
2013-12-18,7.4524,0.025109177520221,1.392,542.9174,543.0175,530.0495,536.4609,2212546,4420671,535.2437
2013-12-19,0.7357349999999999,0.026498289053397003,0.136,543.6531,546.541,540.0795,540.9241,1666006,3328683,543.8245
2013-12-20,7.2072,0.040106559601041,1.326,550.8603,551.1356,544.544,544.6942,3267417,6528306,548.9407
2013-12-23,7.2472,0.053790356125751004,1.316,558.1075,558.4579,553.1126,554.4739,1723430,3443417,556.4712
2013-12-24,-1.6316000000000002,0.050709651521253,-0.292,556.4759,558.1776,554.6041,558.0425,734170,1466873,556.1768
2013-12-26,2.8128,0.05602063822849201,0.505,559.2887,560.0595,554.8993,557.562,1338507,2674340,616.6875
2013-12-27,0.47047000000000005,0.056909012533724004,0.084,559.7592,560.7001,557.0265,560.56,1570140,3137143,558.822
2013-12-30,-4.4745,0.048460487924246,-0.799,555.2847,560.8102,555.0645,560.7302,1236709,2470947,557.4123
2013-12-31,5.6306,0.059092090900800004,1.014,560.9154,561.0605,553.6831,556.6761,1358300,2713886,558.3512
2014-01-02,-3.7988,0.051919388858898005,-0.677,557.1166,559.4339,554.6842,558.2877,1822719,3641796,554.9661
2014-01-03,-4.0641,0.044245760774111006,-0.729,553.0525,559.0235,553.0175,558.0575,1669229,3335123,555.3599
2014-01-06,6.1662,0.055888467768628006,1.115,559.2187,559.9894,553.7732,557.0615,1770782,3538026,557.0858
2014-01-07,10.7795,0.07624177451304101,1.928,569.9982,570.4148,561.1406,563.0625,2553999,5102895,566.9767
2014-01-08,1.1874,0.078483763142228,0.20800000000000002,571.1856,574.2337,567.2116,573.573,2243444,4482406,571.7225
2014-01-09,-5.5005,0.068097997221021,-0.963,565.6851,572.6821,563.3428,572.2917,2085565,4166963,566.1864
2014-01-10,-0.03003,0.06804135273822201,-0.005,565.6551,570.1095,561.6861,570.1095,2145560,4286833,564.3751
2014-01-13,-3.6036,0.06123721746440001,-0.637,562.0515,574.0284,559.1436,563.7982,2425615,4846384,564.4951
2014-01-14,13.2232,0.086204594962681,2.3529999999999998,575.2747,576.0755,564.609,569.544,2484514,4964064,571.9024
2014-01-15,-0.39039,0.085467461426523,-0.068,574.8843,578.0775,572.4669,577.0715,1951012,3898126,575.3262
2014-01-16,3.8038,0.09264960421555701,0.662,578.6881,579.5435,574.574,575.1245,1685699,3368030,577.8704
2014-01-17,-2.8478,0.08727253227838601,-0.492,575.8403,580.8953,572.6721,579.0034,2766140,5526753,577.4031
2014-01-21,6.5916,0.09971845803899401,1.145,582.4319,582.582,576.2256,581.0455,1981099,3958240,580.1627
2014-01-22,0.66066,0.10096576955022901,0.113,583.0925,584.5289,580.0094,583.8883,1573846,3144547,582.1188
2014-01-23,-2.4625,0.09631620158714001,-0.422,580.63,581.8262,577.7622,580.58,1951643,3899387,579.8883
2014-01-24,-18.1531,0.062040436230490006,-3.126,562.4769,577.3493,562.0615,576.0805,3926347,7844849,568.3773
2014-01-27,-11.3113,0.040683011620993005,-2.011,551.1656,563.8133,541.6761,563.6131,4362978,8717239,549.2238
2014-01-28,10.9009,0.061265539705799,1.978,562.0665,563.4374,555.525,555.7152,2217723,4431015,560.0707
2014-01-29,-8.053,0.046060272373107,-1.433,554.0135,561.4359,550.2597,560.1196,2411641,4818464,556.27
2014-01-30,14.2512,0.07296866748196901,2.572,568.2647,576.8212,564.1886,573.0725,5141107,10271942,572.428
2014-01-31,22.8108,0.11603886642305701,4.014,591.0755,593.8633,576.1406,586.2607,5569794,11128460,588.2606
2014-02-03,-23.7938,0.071112616595587,-4.026,567.2817,591.4519,566.5685,590.1896,4575602,9142062,576.4106
2014-02-04,2.3674,0.075582621548203,0.417,569.6491,578.0775,569.0735,569.564,2815737,5625848,572.0843
2014-02-05,2.5225,0.08034547847689001,0.443,572.1716,575.9604,564.574,572.2617,2400619,4796442,571.9648
2014-02-06,8.3884,0.09618403112727601,1.466,580.56,580.6601,574.3488,576.1406,1948254,3892615,582.9449
2014-02-07,8.7487,0.112702884016078,1.5070000000000001,589.3087,589.5389,580.8608,584.3988,2687308,5369247,588.3281
2014-02-10,-2.2573,0.108440953130278,-0.383,587.0515,591.7912,585.0945,586.4859,1945639,3887391,587.8427
2014-02-11,8.6336,0.12474248002007401,1.471,595.6851,596.529,586.6911,590.6751,2052813,4101524,592.0479
2014-02-12,-1.7467000000000001,0.12144426060162801,-0.293,593.9383,595.595,591.2807,595.0945,1725673,3447898,593.0567
2014-02-13,6.6116,0.13392794935076902,1.113,600.5499,600.5499,590.4198,590.9654,1836921,3670172,597.6236
2014-02-14,1.4515,0.13666859824353,0.242,602.0014,602.7972,596.9964,598.4028,2194330,4384276,600.8722
2014-02-18,4.044,0.144304274524842,0.672,606.0454,607.0414,600.6,601.3057,2110730,4217243,604.7568
2014-02-19,-4.2743,0.13623394624551802,-0.705,601.7712,605.2146,599.3498,603.2527,2105697,4207187,605.7653
2014-02-20,0.8858849999999999,0.137906657822574,0.147,602.6571,604.0459,600.7101,602.1716,1701894,3400388,602.5379
2014-02-21,-0.16016000000000002,0.137604176284427,-0.027,602.4969,605.5399,602.0189,604.5089,1863155,3722587,603.5218
2014-02-24,4.3644,0.145844815642034,0.724,606.8613,610.6901,603.1526,603.2827,1675461,3347574,608.0952
2014-02-25,3.7487,0.152922921397661,0.618,610.61,612.8623,605.8169,608.578,1444180,2885475,609.92
2014-02-26,0.085085,0.15308360291386702,0.014,610.6951,615.0544,607.4869,612.612,1983804,3963644,611.903
2014-02-27,-0.48048,0.152176347114369,-0.079,610.2146,612.7296,609.114,609.8042,1260794,2519069,610.9107
2014-02-28,-1.7818,0.148812042465991,-0.292,608.4328,612.7071,603.7131,610.7802,2314596,4624567,608.9262
